id,name,address1,address2,city,zip_code,review_count,categories,rating,price
ca644e71b7,Poke Delish,601 Mission Bay Boulevard North, , San Francisco,94158,15,"Japanese, Asian, Sushi",5,$
cc3cf31715,Asmara Ethiopian Restaurant,5020 Telegraph Avenue, , San Francisco,94609,new,"Ethiopian, Vegetarian, African, Healthy",0,$
ccf7c4ccdc,Ming's Fried Chicken,501 Broadway, , San Francisco,94133,new,"Asian, Asian",0,$
cd5555942e,Clay Oven - West Portal,385 W Portal Ave, , San Francisco,94127,15,Indian,5,$
cd5944fdd5,Taste of Rome,1000 Bridgeway, , San Francisco,94965,11,"Pizza, Italian, Pasta, Comfort",5,$
ce48a18b56,Oliva (Sacramento),483 Sacramento St, , San Francisco,94111,new,"Mediterranean, Vegetarian, Chicken, Healthy",0,$
ce6eca319d,Taqueria Castillo (McAllister),86 Mcallister St, , San Francisco,94102,16,"Mexican, Latin",5,$
ce8b5a94c8,Ocean Indian Cuisine,6127 Geary Boulevard, , San Francisco,94121,100+,"Indian, Vegetarian, Biryani, Group",0,$
cf2e16417b,Savor,401 Irving Street, , San Francisco,94122,new,"Vegan, Vegetarian, Healthy, Middle",0,$
cf50fe9f98,Pizza Due,489 Church Street, , San Francisco,94114,new,"Pizza, American, Italian, Salads",0,$
cf7d16b892,Mendocino Farms - San Francisco,465 California Street, , San Francisco,94104,100+,"Sandwiches, American, Healthy",0,$
cfd25d1bf7,Your Momma’s Kitchenette,1244 Market Street, , San Francisco,94102,new,Breakfast,0,$
cfefec0717,Henry's Hunan Restaurant,110 Natoma St, , San Francisco,94105,16,"Chinese, Asian, Asian",5,$
cffdccde3b,Boudin (Embarcadero),4 Embarcadero Center, , San Francisco,94111,39,"Bakery, Salads, Sandwich, Healthy, Family",5,$
d081dfb7ec,Pronto Pizza San Francisco,798 Eddy St, , San Francisco,94109,12,"Italian, Pizza",5,$
d25e2fc6d2,Dim Sum Bistro,675 Broadway St., , San Francisco,94133,37,"Chinese, Asian, Seafood, Group",5,$
d28f11e633,Daimo Chinese Restaurant,3288 Pierce St, , San Francisco,94804,22,"Chinese, Asian, Seafood, Family",5,$
